view_id,player,weight,q,confidence,rationale,date
v20_gibbs,Jahmyr Gibbs,1,20.4,high,"Montgomery traded; snap share projected 67%->75%. Campbell on record ""bell cow""; RB2 is a $1.81M vet. Removes his only touch cap. High confidence - this is a role change, not a projection.",2026-08-09
v23_pierce,Alec Pierce,1,11.31,low,"Active PUP, has not practiced since signing; ankle cleanup surgery late March. Week 1 is ""a goal, not a guarantee."" Offset: 4yr/$116M and in line for Pittman’s vacated targets.",2026-08-09
v15_achane,De'Von Achane,1,16.0,medium,Owner ranks him behind both Jonathan Taylor and Chase Brown. Replaces the earlier +1.0 vacated-target view (Hill and Waddle gone); owner does not buy the Miami passing-game funnel with QB Willis.,2026-08-09
v24_love,Jeremiyah Love,1,13.4,medium,"Owner is systematically skeptical of rookies. Supported by the reporting: Hackett said Love ""looked like a rookie so far,"" staff is prioritising longevity over counting stats, first-week carry split was near-even (Allgeier 21, Love 18), and beat coverage compares the managed rollout to the Jeanty situation.",2026-08-09
v25_montgomery,David Montgomery,1,11.83,low,"New team (traded Detroit->Houston). Clear early-down and goal-line starter on a team that finished 22nd in rushing yards and 27th in rushing TDs, so the touch base is there. Tempered: Slater reported a genuine split with Woody Marks (~55-45), who owns the passing-down role.",2026-08-09
v26_sutton,Courtland Sutton,1,11.4,medium,"Age-related decline already visible in 2025 with Troy Franklin taking targets. Denver then paid a 1st/3rd/4th for Jaylen Waddle, who is objectively the better receiver - so Sutton is behind him regardless of nominal depth-chart order. Report corroborates: Waddle plus Mims plus Bryant ""will compress his volume from prior seasons""; Sutton taking managed veteran rest days with reps to Bryant, whom ESPN says the team is grooming for the X role. Target share expected to drop sharply.",2026-08-10
v28_tmac,Tetairoa McMillan,1,15.2,medium,"Owner is high on Bryce Young making another step in year 4. McMillan is the only conduit for that on our board and the report ties his ceiling directly to it: clear No. 1, 120-145 targets, primary red-zone option, Coker/Legette merely complementary, and Young ""has repeatedly praised his command of the offence.""",2026-08-10
v19_odunze,Rome Odunze,1,13.96,medium,"DJ Moore traded; ascended to WR1. Raised from the earlier +0.8 to include the owner’s view that Caleb Williams makes a leap, lifting the whole Chicago passing game. Still tempered: Burden is genuinely competing and Ben Johnson runs a democratic offence feeding Loveland and Kmet.",2026-08-10
v27_burden,Luther Burden III,1,13.9,medium,"Elite young YAC/route metrics that are hard to ignore; ""the talk of Bears camp,"" Ben Johnson ""buying Luther Burden stock."" Competition is only Odunze, softer than Jacksonville’s Brian Thomas Jr/Meyers/Hunter stack. Raised to include the Caleb Williams leap. Owner concedes the real cap is Colston Loveland, who he expects to be fed more, not less - which is why this is not larger.",2026-08-10
v29_johnston,Quentin Johnston,1,14.2,medium,"Keenan Allen's 22.4% target share (122 targets) vacates; McConkey is a 9.9-aDOT slot receiver in McDaniel's quick game and cannot absorb the deep/red-zone portion. Johnston ran an 11.8 aDOT and led the room at 17.9% red-zone target share with 8 TDs on 84 targets. 2025 per-game distribution is the best in his ADP tier on BOTH ends: highest p25 floor (9.20), highest median (14.80), lowest bust rate (.23), highest 15+ rate (.38), p90 of 23.1 - versus Deebo (.44 bust), Worthy and Downs (.50 bust, no ceiling). For a bench pick the upper tail is what is being bought and the downside is capped at dropping him. Also: better line with tackles returning, new play-caller. Knock: 13 and 15 games in two seasons, and Harbaugh calls it 'three elite receivers'.",2026-08-11
v30_hampton,Omarion Hampton,1,16.3,high,"Owner takes Hampton over both Derrick Henry and Saquon Barkley. Supported by the report: competition evaporated (Najee Harris unsigned FA, Roman's rotation philosophy gone with him), McDaniel called him the most improved player in camp, Harbaugh says he 'has a chance to have a big year', and the rookie analytics are strong - 3.34 yards after contact/att (10th), 35.5% breakaway rate (7th), 32 forced missed tackles on 125 carries. High confidence: this is a role-and-competition change, not a projection. Risk: 2025 ankle/IR, and no beat has addressed his pass-protection role.",2026-08-12
v32_cook,James Cook III,1,16.9,medium,"Owner has him far higher than RB21 - 'going to the turn', i.e. a round 2 pick. Led the NFL in rushing 2025 (1,621 yds, 12 TD, 5.2 YPC, 2nd-team All-Pro), Joe Brady on record Aug 5: 'I expect James Cook to take another step... continue to be the workhorse as a runner.' 4yr/$46M extension.",2026-08-18
v14_devonta,DeVonta Smith,1,16.3,medium,"Raised from q=15.69. Owner rates him clearly above Chris Olave. A.J. Brown's 26.1% target share (121 targets) vacates and the only competition is Goedert, Barkley and a rookie - Dotson at 7.8% averaged 3.35 PPG. Capped by Philadelphia being bottom-quartile in pass volume four straight years.",2026-08-18
v21_walker,Kenneth Walker,1,16.75,medium,"Owner would take him in round 2 - 'he is a running back, I would take him.' Bell-cow-leaning role in an elite offence after Pacheco left for Detroit; graded a free-agency steal at 3yr/$43M; genuinely improved receiving opportunity under Reid, who is reviving the screen game. Confirmed a Chief (the Aug 11-18 digest corrects last week's error keeping him in Seattle).",2026-08-18
v33_nacua,Puka Nacua,1,17.99,medium,"Owner: should not be in the top three, third at best. Injury/durability risk is the stated reason and the model prices none of it - theta* is points per game GIVEN he plays, and the Aug 11-18 digest has him leaving the Aug 11 joint practice early with no reason given. Counterweight held in the sizing: he is the highest raw value on the board (20.19) and LAR's target concentration is real.",2026-08-18
v34_jeanty,Ashton Jeanty,1,13.3,medium,"Sprained ankle Sun Aug 23 (Schefter/PFT): helped off, could not bear weight, Raiders do not yet know the timeline and high- vs low-ankle is unspecified. Listed Questionable Wk 1. Owner: price it hard. Trap noted: FOX first reported a knee (wrong); an Aug 21-dated feed item is date noise on the same story.",2026-08-24
v35_etienne,Travis Etienne Jr.,1,16.4,high,"Kamara MCL sprain Aug 19, out 1+ month - Etienne is the outright lead back, not a co-starter. Corroborated by NO trading for Zamir White ~Aug 24 with Neal (hamstring) and Estime (ankle) also down; teams do not trade for RB depth in late August unless genuinely short. High confidence: this is a role change with a transaction behind it.",2026-08-24
v36_metcalf,DK Metcalf,1,13.35,medium,"Pittman reclassified as a hamstring, out of practice 2+ weeks as of Aug 19 - Metcalf is Pittsburgh's WR1 by default early. Sized down from the first proposal per owner: real but he is not a player the owner rates highly.",2026-08-24
v37_mcconkey,Ladd McConkey,1,14.9,medium,"Quentin Johnston out since the Aug 18 joint practice, Questionable Wk 1 - early-season target consolidation to McConkey, who is already the clear WR1 and Herbert's primary target in McDaniel's quick game. Owner is independently high on him. Note this is NOT paired with a Johnston fade: Johnston is a bench upside piece whose value is in weeks 3+ regardless.",2026-08-24
v16_evans,Mike Evans,1,13.2,medium,"WITHDRAWN and reversed from the earlier +0.41. That view assumed Pearsall out and the room collapsing around Evans. The premise is dead: Jauan Jennings is a Minnesota Viking (1yr/$13M) and Deebo Samuel re-signed with SF and is WR1 on the depth chart. SF's room is Deebo/Evans/Kirk/Robinson with Pearsall on IR - crowded and target-fragmenting, the opposite of concentrated opportunity. Evans also had quad tightness ~Aug 18.",2026-08-24
v31_london,Drake London,1,14.9,medium,"SOFTENED from q=13.90. The original fade rested on Atlanta QB volatility; Penix was cleared for 11-on-11 on Aug 22, so the QB room is resolving rather than deteriorating. Owner's underlying dislike of London retained at reduced size.",2026-08-24
v22_jacobs,Josh Jacobs,1,12.6,low,"Schefter reported Aug 19-20 it 'would not be a surprise' if Jacobs is suspended over a pending legal matter; no decision as of Aug 24. Owner asked for a larger fade than the first proposal. Confidence stays LOW because this is reporting-on-reporting - the underlying facts are unverified. Groin also cost him most of camp (practiced Aug 18, sat Aug 21).",2026-08-24
v38_hall,Breece Hall,1,12.6,medium,"Imaging returned 2-3 weeks (groin), Aug 18 - the Aug 17 'Glenn downplayed it' framing did not hold. Clock runs to ~Sep 1-8 against a Sep 13 opener, so he nominally makes Week 1 but with no ramp and no preseason, and there is no follow-up datapoint through Aug 24. Braelon Allen is a handcuff not a replacement (3 carries, 4 yards with the starters Aug 21).",2026-08-24
v39_nabers,Malik Nabers,1,14.45,low,"Went backwards: sidelined from the Miami joint practices Aug 20, still in a red jersey Aug 23, Harbaugh says he must take contact before Week 1 clearance. Sized SMALL and at low confidence per owner - he goes ~23rd in the owner's league and the talent case is unchanged; this prices the ramp, not the player.",2026-08-24
